id;type_aero;nom;latitude_deg;longitude_deg;elevation_ft;code_continent;code_pays;municipalite;code_icao;fuseau
AAA;medium_airport;Anaa Airport;-17.35260009765625;-145.50999450683594;10;OC;PF;;NTGA;Pacific/Tahiti
AAB;small_airport;Arrabury Airport;-26.693023;141.047771;334;OC;AU;;YARY;Australia/Brisbane
AAC;medium_airport;El Arish International Airport;31.073299408;33.8358001709;121;AS;EG;El Arish;HEAR;Africa/Cairo
AAE;medium_airport;Annaba Airport;36.822200775146484;7.809169769287109;16;AF;DZ;Annabah;DABB;Africa/Algiers
AAF;small_airport;Apalachicola Regional Airport;29.72750092;-85.02749634;20;NA;US;Apalachicola;KAAF;America/New_York
AAG;small_airport;Arapoti Airport;-24.1039009094;-49.789100647;2641;SA;BR;Arapoti;SSYA;America/Sao_Paulo
AAH;small_airport;Aachen-Merzbrück Airport;50.823055267333984;6.186388969421387;623;EU;DE;Aachen;EDKA;Europe/Berlin
AAI;small_airport;Arraias Airport;-13.02388858795166;-46.885555267333984;1923;SA;BR;Arraias;SWRA;America/Araguaina
AAJ;small_airport;Cayana Airstrip;3.898681;-55.577907;360;SA;SR;Awaradam;SMCA;America/Paramaribo
AAK;small_airport;Buariki Airport;0.1852779984474182;173.63699340820312;;OC;KI;Buariki;NGUK;Pacific/Tarawa
AAL;large_airport;Aalborg Airport;57.0927589138;9.84924316406;10;EU;DK;Aalborg;EKYT;Europe/Copenhagen
AAM;medium_airport;Malamala Airport;-24.818099975585938;31.544599533081055;1124;AF;ZA;Malamala;FAMD;Africa/Johannesburg
AAN;medium_airport;Al Ain International Airport;24.261699676513672;55.60919952392578;869;AS;AE;Al Ain;OMAL;Asia/Dubai
AAO;medium_airport;Anaco Airport;9.430225372314453;-64.4707260131836;721;SA;VE;Anaco;SVAN;America/Caracas
AAQ;medium_airport;Anapa Vityazevo Airport;45.002101898193;37.347301483154;174;EU;RU;Anapa;URKA;Europe/Moscow
AAR;medium_airport;Aarhus Airport;56.2999992371;10.619000434899998;82;EU;DK;Aarhus;EKAH;Europe/Copenhagen
AAT;medium_airport;Altay Air Base;47.7498855591;88.08580780030002;2460;AS;CN;Altay;ZWAT;Asia/Urumqi
AAU;small_airport;Asau Airport;-13.505132;-172.627888;;OC;WS;Asau;NSAU;Pacific/Apia
AAV;medium_airport;Allah Valley Airport;6.366819858551025;124.7509994506836;659;AS;PH;Surallah;RPMA;Asia/Manila
AAW;small_airport;Abbottabad Airport;34.200000762900004;73.25;4072;AS;PK;Abbottabad;OPAB;Asia/Karachi
AAX;small_airport;Romeu Zema Airport;-19.563199996948;-46.960399627686;3276;SA;BR;Araxá;SBAX;America/Sao_Paulo
AAY;medium_airport;Al Ghaidah International Airport;16.191699981689453;52.17499923706055;134;AS;YE;;OYGD;Asia/Aden
AAZ;small_airport;Quezaltenango Airport;14.865599632263184;-91.50199890136719;7779;NA;GT;Quezaltenango;MGQZ;America/Guatemala
ABA;medium_airport;Abakan Airport;53.7400016784668;91.38500213623047;831;AS;RU;Abakan;UNAA;Asia/Krasnoyarsk
ABB;medium_airport;Asaba International Airport;6.20333333333;6.65888888889;305;AF;NG;Asaba;DNAS;Africa/Lagos
ABC;medium_airport;Albacete-Los Llanos Airport;38.9485015869;-1.8635200262099998;2302;EU;ES;Albacete;LEAB;Europe/Madrid
ABD;medium_airport;Abadan Airport;30.371099472;48.2282981873;10;AS;IR;Abadan;OIAA;Asia/Tehran
ABE;medium_airport;Lehigh Valley International Airport;40.652099609375;-75.44080352783203;393;NA;US;Allentown;KABE;America/New_York
ABF;small_airport;Abaiang Airport;1.798609972000122;173.04100036621094;;OC;KI;Abaiang;NGAB;Pacific/Tarawa
ABG;small_airport;Abingdon Downs Airport;-17.616699218799997;143.167007446;;OC;AU;;YABI;Australia/Brisbane
ABH;medium_airport;Alpha Airport;-23.646099;146.584;1255;OC;AU;Alpha;YAPH;Australia/Brisbane
ABI;medium_airport;Abilene Regional Airport;32.4113006592;-99.68190002440001;1791;NA;US;Abilene;KABI;America/Chicago
ABJ;medium_airport;Port Bouet Airport;5.261390209197998;-3.9262900352478027;21;AF;CI;Abidjan;DIAP;Africa/Abidjan
ABK;small_airport;Kabri Dehar Airport;6.734000205993652;44.25299835205078;1800;AF;ET;Kabri Dehar;HAKD;Africa/Addis_Ababa
ABL;medium_airport;Ambler Airport;67.1063;-157.856989;334;NA;US;Ambler;PAFM;America/Anchorage
ABM;small_airport;Northern Peninsula Airport;-10.9508;142.459;34;OC;AU;Bamaga;YNPE;Australia/Brisbane
ABN;small_airport;Albina Airport;5.512720108032227;-54.05009841918945;19;SA;SR;Albina;SMBN;America/Paramaribo
ABQ;large_airport;Albuquerque International Sunport Airport;35.040199279785156;-106.60900115966797;5355;NA;US;Albuquerque;KABQ;America/Denver
ABR;medium_airport;Aberdeen Regional Airport;45.449100494384766;-98.42179870605469;1302;NA;US;Aberdeen;KABR;America/Chicago
ABS;medium_airport;Abu Simbel Airport;22.375999450699997;31.611700058;616;AF;EG;Abu Simbel;HEBL;Africa/Cairo
ABT;medium_airport;Al Baha Airport;20.2961006165;41.6343002319;5486;AS;SA;;OEBA;Asia/Riyadh
ABU;small_airport;Haliwen Airport;-9.073049545289999;124.904998779;1027;AS;ID;Atambua-Timor Island;WATA;Asia/Makassar
ABV;large_airport;Nnamdi Azikiwe International Airport;9.006790161132812;7.263169765472412;1123;AF;NG;Abuja;DNAA;Africa/Lagos
ABX;medium_airport;Albury Airport;-36.06779861450195;146.95799255371094;539;OC;AU;Albury;YMAY;Australia/Sydney
ABY;medium_airport;Southwest Georgia Regional Airport;31.535499572753906;-84.19450378417969;197;NA;US;Albany;KABY;America/New_York
ABZ;large_airport;Aberdeen Dyce Airport;57.201900482177734;-2.197779893875122;215;EU;GB;Aberdeen;EGPD;Europe/London
ACA;large_airport;General Juan N Alvarez International Airport;16.757099151611328;-99.75399780273438;16;NA;MX;Acapulco;MMAA;America/Mexico_City
ACB;small_airport;Antrim County Airport;44.988602;-85.198402;623;NA;US;Bellaire;KACB;America/Detroit
ACC;large_airport;Kotoka International Airport;5.605189800262451;-0.16678600013256073;205;AF;GH;Accra;DGAA;Africa/Accra
ACD;small_airport;Alcides Fernández Airport;8.51667;-77.3;50;SA;CO;Acandí;SKAD;America/Bogota
ACE;medium_airport;Lanzarote Airport;28.945499420166016;-13.605199813842773;46;EU;ES;Lanzarote Island;GCRR;Atlantic/Canary
ACF;small_airport;Brisbane Archerfield Airport;-27.5702991486;153.007995605;63;OC;AU;Brisbane;YBAF;Australia/Brisbane
ACH;medium_airport;St Gallen Altenrhein Airport;47.4850006104;9.560770034789998;1306;EU;CH;Altenrhein;LSZR;Europe/Zurich
ACI;medium_airport;Alderney Airport;49.70610046386719;-2.2147200107574463;290;EU;GG;Saint Anne;EGJA;Europe/Guernsey
ACJ;medium_airport;Anuradhapura Air Force Base;8.30148983002;80.42790222170001;324;AS;LK;Anuradhapura;VCCA;Asia/Colombo
ACK;medium_airport;Nantucket Memorial Airport;41.25310135;-70.06020355;47;NA;US;Nantucket;KACK;America/New_York
ACN;small_airport;Ciudad Acuña New International Airport;29.33289909362793;-101.0989990234375;1410;NA;MX;Ciudad Acuña;MMCC;America/Matamoros
ACP;small_airport;Sahand Airport;37.347999572753906;46.127899169921875;4396;AS;IR;Maragheh;OITM;Asia/Tehran
ACR;small_airport;Araracuara Airport;-0.5833;-72.4083;1250;SA;CO;Araracuara;SKAC;America/Bogota
ACS;medium_airport;Achinsk Airport;56.2682991027832;90.57080078125;1033;AS;RU;Achinsk;UNKS;Asia/Krasnoyarsk
