id;id_compagnie;nom_config;id_aeroport;date_livraison;date_derniere_revision;id_etat;latitude_deg;longitude_deg
JA05MC;7G;32F;NRT;2011-01-31;2011-01-31;3;;
JA06MC;7G;32F;NRT;2011-05-31;2011-05-31;3;;
JA07MC;7G;32F;NRT;2012-04-20;2012-04-20;3;;
JA08MC;7G;32F;NRT;2012-12-10;2012-12-10;3;;
JA09MC;7G;32F;NRT;2013-03-20;2013-03-20;3;;
JA20MC;7G;32F;NRT;2013-06-26;2013-06-26;3;;
JA21MC;7G;32F;NRT;2013-09-16;2013-09-16;3;;
JA22MC;7G;32F;NRT;2013-11-15;2013-11-15;3;;
JA23MC;7G;32F;NRT;2014-01-20;2014-01-20;3;;
JA24MC;7G;32F;NRT;2016-12-15;2016-12-15;3;;
JA8396;NH;32A;NRT;1994-08-08;1994-08-08;3;;
JA8654;NH;32A;NRT;1995-02-01;1995-02-01;3;;
JA8304;NH;32A;NRT;1995-05-10;1995-05-10;3;;
JA8313;NH;32A;NRT;1995-05-19;1995-05-19;3;;
JA8300;NH;32A;NRT;1995-09-25;1995-09-25;3;;
JA8400;NH;32A;NRT;1995-11-08;1995-11-08;3;;
JA8997;NH;32A;NRT;1997-02-28;1997-02-28;3;;
JA8946;NH;32A;NRT;1997-04-11;1997-04-11;3;;
JA8947;NH;32A;NRT;1997-06-18;1997-06-18;3;;
JA01JJ;GK;320;NRT;2012-04-20;2012-04-20;3;;
JA02JJ;GK;320;NRT;2012-05-23;2012-05-23;3;;
JA03JJ;GK;320;NRT;2012-06-16;2012-06-16;3;;
JA04JJ;GK;320;NRT;2012-08-06;2012-08-06;3;;
JA05JJ;GK;320;NRT;2012-09-19;2012-09-19;3;;
JA09JJ;GK;320;NRT;2013-02-28;2013-02-28;3;;
JA10JJ;GK;320;NRT;2013-03-13;2013-03-13;3;;
JA06JJ;GK;320;NRT;2012-10-03;2012-10-03;3;;
JA07JJ;GK;320;NRT;2012-11-13;2012-11-13;3;;
JA08JJ;GK;320;NRT;2013-02-18;2013-02-18;3;;
JA11JJ;GK;320;NRT;2013-04-25;2013-04-25;3;;
JA12JJ;GK;320;NRT;2013-05-21;2013-05-21;3;;
JA13JJ;GK;320;NRT;2013-06-25;2013-06-25;3;;
JA14JJ;GK;320;NRT;2013-08-27;2013-08-27;3;;
JA15JJ;GK;320;NRT;2013-09-10;2013-09-10;3;;
JA16JJ;GK;320;NRT;2013-09-18;2013-09-18;3;;
JA17JJ;GK;320;NRT;2013-09-05;2013-09-05;3;;
JA18JJ;GK;320;NRT;2013-10-10;2013-10-10;3;;
JA21JJ;GK;320;NRT;2017-02-24;2017-02-24;3;;
JA19JJ;GK;320;NRT;2014-10-14;2014-10-14;3;;
JA20JJ;GK;320;NRT;2014-12-15;2014-12-15;3;;
JA801P;MM;320;NRT;2011-11-04;2011-11-04;3;;
JA802P;MM;320;NRT;2011-12-17;2011-12-17;3;;
JA803P;MM;320;NRT;2012-02-17;2012-02-17;3;;
JA804P;MM;320;NRT;2012-06-15;2012-06-15;3;;
JA805P;MM;320;NRT;2012-10-04;2012-10-04;3;;
JA806P;MM;320;NRT;2012-11-27;2012-11-27;3;;
JA807P;MM;320;NRT;2013-01-23;2013-01-23;3;;
