id;id_compagnie;nom_config;id_aeroport;date_livraison
JA05MC ;7G;32F;NRT;31. Jan 2011 
JA06MC ;7G;32F;NRT;31. May 2011 
JA07MC ;7G;32F;NRT;20. Apr 2012 
JA08MC ;7G;32F;NRT;10. Dec 2012 
JA09MC ;7G;32F;NRT;20. Mar 2013 
JA20MC ;7G;32F;NRT;26. Jun 2013 
JA21MC ;7G;32F;NRT;16. Sep 2013 
JA22MC ;7G;32F;NRT;15. Nov 2013 
JA23MC ;7G;32F;NRT;20. Jan 2014 
JA24MC ;7G;32F;NRT;15. Dec 2016 
JA8396 ;NH;32A;NRT;08. Aug 1994 
JA8654 ;NH;32A;NRT;01. Feb 1995 
JA8304 ;NH;32A;NRT;10. May 1995 
JA8313 ;NH;32A;NRT;19. May 1995 
JA8300 ;NH;32A;NRT;25. Sep 1995 
JA8400 ;NH;32A;NRT;08. Nov 1995 
JA8997 ;NH;32A;NRT;28. Feb 1997 
JA8946 ;NH;32A;NRT;11. Apr 1997 
JA8947 ;NH;32A;NRT;18. Jun 1997 
JA01JJ ;GK;320;NRT;20. Apr 2012 
JA02JJ ;GK;320;NRT;23. May 2012 
JA03JJ ;GK;320;NRT;16. Jun 2012 
JA04JJ ;GK;320;NRT;06. Aug 2012 
JA05JJ ;GK;320;NRT;19. Sep 2012 
JA09JJ ;GK;320;NRT;28. Feb 2013 
JA10JJ ;GK;320;NRT;13. Mar 2013 
JA06JJ ;GK;320;NRT;03. Oct 2012 
JA07JJ ;GK;320;NRT;13. Nov 2012 
JA08JJ ;GK;320;NRT;18. Feb 2013 
JA11JJ ;GK;320;NRT;25. Apr 2013 
JA12JJ ;GK;320;NRT;21. May 2013 
JA13JJ ;GK;320;NRT;25. Jun 2013 
JA14JJ ;GK;320;NRT;27. Aug 2013 
JA15JJ ;GK;320;NRT;10. Sep 2013 
JA16JJ ;GK;320;NRT;18. Sep 2013 
JA17JJ ;GK;320;NRT;05. Sep 2013 
JA18JJ ;GK;320;NRT;10. Oct 2013 
JA21JJ ;GK;320;NRT;24. Feb 2017 
JA19JJ ;GK;320;NRT;14. Oct 2014 
JA20JJ ;GK;320;NRT;15. Dec 2014 
JA801P ;MM;320;NRT;04. Nov 2011 
JA802P ;MM;320;NRT;17. Dec 2011 
JA803P ;MM;320;NRT;17. Feb 2012 
JA804P ;MM;320;NRT;15. Jun 2012 
JA805P ;MM;320;NRT;04. Oct 2012 
JA806P ;MM;320;NRT;27. Nov 2012 
JA807P ;MM;320;NRT;23. Jan 2013 
JA808P ;MM;320;NRT;05. Apr 2013 
JA809P ;MM;320;NRT;12. Jun 2013 
JA810P ;MM;320;NRT;05. Aug 2013 
JA811P ;MM;320;NRT;06. Dec 2013 
JA812P ;MM;320;NRT;11. Mar 2014 
JA813P ;MM;320;NRT;02. Jun 2014 
JA814P ;MM;320;NRT;12. Nov 2014 
JA815P ;MM;320;NRT;23. Jun 2015 
JA816P ;MM;320;NRT;22. Jul 2015 
JA817P ;MM;320;NRT;17. Nov 2015 
