id_compagnie;numero_vol;id_aeroport_depart;id_aeroport_arrivee;id_compagnie_config;nom_config;heure_depart;heure_arrivee;duree;periodicite;id_compagnie_operateur;numero_vol_operateur
6J;11;HND;KMJ;6J;73L;07:10;09:00;1h50;;;
6J;12;KMJ;HND;6J;73L;07:35;09:15;1h40;;;
6J;13;HND;KMJ;6J;73L;12:15;14:05;1h50;;;
6J;14;KMJ;HND;6J;73L;09:40;11:20;1h40;;;
6J;15;HND;KMJ;6J;73L;14:05;15:50;1h45;;;
6J;16;KMJ;HND;6J;73L;14:40;16:20;1h40;;;
6J;17;HND;KMJ;6J;73L;16:25;18:15;1h50;;;
6J;18;KMJ;HND;6J;73L;16:20;18:00;1h40;;;
6J;21;HND;KMJ;6J;73L;19:10;20:55;1h45;;;
6J;22;KMJ;HND;6J;73L;18:45;20:25;1h40;;;
6J;31;HND;NGS;6J;73L;06:55;08:45;1h50;;;
6J;33;HND;NGS;6J;73L;09:55;11:45;1h50;;;
6J;34;NGS;HND;6J;73L;09:20;11:00;1h40;;;
6J;35;HND;NGS;6J;73L;13:00;14:50;1h50;;;
6J;38;NGS;HND;6J;73L;12:20;14:00;1h40;;;
6J;39;HND;NGS;6J;73L;18:40;20:30;1h50;;;
6J;40;NGS;HND;6J;73L;15:25;17:05;1h40;;;
6J;42;NGS;HND;6J;73L;21:05;22:45;1h40;;;
6J;51;HND;KMI;6J;73L;06:50;08:30;1h40;;;
6J;52;KMI;HND;6J;73L;07:35;09:10;1h35;;;
6J;53;HND;KMI;6J;73L;08:20;10:00;1h40;;;
6J;54;KMI;HND;6J;73L;10:35;12:10;1h35;;;
6J;55;HND;KMI;6J;73L;09:45;11:25;1h40;;;
6J;56;KMI;HND;6J;73L;11:55;13:30;1h35;;;
6J;57;HND;KMI;6J;73L;12:00;13:40;1h40;;;
6J;58;KMI;HND;6J;73L;14:15;15:50;1h35;;;
6J;59;HND;KMI;6J;73L;14:45;16:25;1h40;;;
6J;60;KMI;HND;6J;73L;16:55;18:40;1h45;;;
6J;61;HND;KMI;6J;73L;17:05;18:45;1h40;;;
6J;62;KMI;HND;6J;73L;18:20;20:05;1h45;;;
6J;63;HND;KMI;6J;73L;19:15;21:00;1h45;;;
6J;64;KMI;HND;6J;73L;19:20;21:05;1h45;;;
6J;71;HND;KOJ;6J;73L;07:40;09:25;1h45;;;
6J;72;KOJ;HND;6J;73L;07:25;09:15;1h50;;;
6J;73;HND;KOJ;6J;73L;10:00;11:50;1h50;;;
6J;74;KOJ;HND;6J;73L;10:55;12:35;1h40;;;
6J;75;HND;KOJ;6J;73L;13:15;15:05;1h50;;;
6J;76;KOJ;HND;6J;73L;12:25;14:05;1h40;;;
6J;77;HND;KOJ;6J;73L;15:15;17:05;1h50;;;
6J;78;KOJ;HND;6J;73L;15:40;17:20;1h40;;;
6J;79;HND;KOJ;6J;73L;18:15;20:00;1h45;;;
6J;82;KOJ;HND;6J;73L;20:40;22:20;1h40;;;
6J;88;OIT;HND;6J;73L;08:50;10:20;1h30;;;
6J;89;HND;OIT;6J;73L;06:40;08:15;1h35;;;
6J;90;OIT;HND;6J;73L;13:05;14:35;1h30;;;
6J;91;HND;OIT;6J;73L;11:00;12:35;1h35;;;
6J;92;OIT;HND;6J;73L;16:50;18:30;1h40;;;
6J;93;HND;OIT;6J;73L;14:45;16:20;1h35;;;
6J;94;OIT;HND;6J;73L;19:50;21:30;1h40;;;
6J;95;HND;OIT;6J;73L;17:45;19:20;1h35;;;
