id_aeroport;length_ft;le_identificateur;le_seuil_decale_ft;he_identificateur;he_seuil_decale_ft
AAA;4921;14;;32;
AAB;3379;16;;34;
AAC;9905;16;;34;
AAE;7513;5;;23;
AAE;9843;1;335;19;
AAF;5070;6;;24;
AAF;5265;18;300;36;500
AAF;5350;13;;31;400
AAG;4593;5;;23;
AAI;4921;15;;33;
AAL;8363;08R;;26L;
AAL;8707;08L;;26R;
AAM;4145;16;;34;
AAN;13123;1;;19;
AAO;4134;9;187;27;
AAQ;8202;4;;22;
AAR;8865;10R;;28L;
AAR;9111;10L;;28R;
AAV;4396;16;;34;
AAX;6234;15;;33;
AAY;8858;8;;26;
ABA;4265;02L;;20R;
ABA;8202;02C;;20C;
ABA;10663;02R;1640;20L;820
ABC;8858;9;;27;
ABD;7437;14L;;32R;
ABD;10169;14R;;32L;
ABE;5797;13;;31;
ABE;7600;6;;24;500
ABH;4777;18;;36;
ABI;3678;4;;22;
ABI;7198;17L;;35R;
ABI;7202;17R;;35L;
ABJ;9843;3;;21;
ABL;3000;18;;36;
ABM;5462;13;;31;
ABQ;6000;12;;30;
ABQ;10000;3;;21;
ABQ;10000;17;;35;
ABQ;13793;8;;26;
ABR;5500;17;;35;
ABR;6901;13;;31;
ABS;9843;15;;33;
ABT;10991;7;787;25;787
ABU;3937;8;;26;
ABV;11842;4;;22;
ABX;6234;7;;25;
ABY;5200;16;;34;
ABY;6601;4;;22;
ABZ;6001;16;;34;
ACA;5579;6;;24;
ACA;10832;10;;28;
ACB;5000;2;;20;
ACC;11165;3;;21;1349
ACE;7874;3;;21;
ACF;3609;04R;;22L;
ACF;3609;10R;;28L;
ACF;4085;04L;;22R;952
ACF;4859;10L;;28R;
ACH;4922;10R;328;28L;246
ACI;2887;8;;26;
ACJ;4876;5;;23;
ACK;2696;12;;30;
ACK;4000;15;;33;
ACK;6303;6;551;24;
ACN;5910;13;;31;
ACP;9614;8;1148;26;1509
ACT;5896;14;;32;
ACT;6596;1;;19;
ACV;4499;1;;19;
ACV;6000;14;797;32;
ACY;6144;4;;22;
ACY;10000;13;;31;
ACZ;9848;16;;34;
ADA;9022;5;;23;
ADB;10630;16L;;34R;
ADB;10630;16R;;34L;
ADD;12139;07L;825;25R;1235
ADD;12467;07R;1185;25L;1170
ADE;10171;8;;26;
ADF;8212;5;;23;
ADG;5001;5;;23;
ADI;6300;10;;28;
ADJ;10745;6;;24;
ADK;7605;18;;36;
ADK;7790;5;;23;
ADL;5420;12;;30;
ADL;10171;5;493;23;
ADM;5006;17;;35;
ADM;7220;13;;31;300
ADO;3280;7;;25;
ADP;3600;7;;25;
ADQ;5013;18;;36;
ADQ;5399;11;440;29;556
ADQ;7542;7;1129;25;
ADR;3001;18;;36;
ADS;7202;15;979;33;771
ADT;3103;13;;31;
ADT;6203;17;;35;100
ADU;10823;15;;33;
ADW;9300;01L;;19R;
ADW;9755;01R;;19L;
ADX;4803;4;;22;
ADX;8491;9;886;27;
ADY;4757;10;;28;
ADZ;7808;6;;24;
AEG;4580;11;;29;
AEH;9186;9;;27;
AEL;2899;4;;22;
AEL;4501;16;;34;
AEO;5245;4;;22;
AEP;6890;13;;31;417
AER;7218;2;;20;
AER;9482;6;262;24;
AES;7592;7;490;25;755
AET;4000;5;;23;
AEU;9796;8;860;26;940
AEX;9352;14;;32;
AEY;6365;1;;19;
AFA;6923;10;315;28;515
AFD;2624;18;;36;
AFD;3608;7;;25;
AFD;3936;10R;;28L;
AFD;5996;10L;;28R;
AFF;3500;16L;;34R;
AFF;4500;16C;;34C;
AFF;4500;16R;;34L;
AFL;8202;3;;21;
AFN;2982;16;;34;582
AFO;7023;16;;34;
AFS;6098;18;;36;
AFW;8220;16R;501;34L;601
AFW;9600;16L;1390;34R;
AFY;9843;13R;;31L;
AFY;12008;13L;;31R;
AFZ;10428;9;;27;
AGA;10499;9;;27;
AGB;3325;07L;;25R;
AGB;5230;7;;25;
AGC;3825;13;;31;
AGC;6501;10;;28;
AGE;2789;10;;28;
AGF;7103;11;541;29;1312
AGH;6381;14;;32;
AGJ;2625;1;;19;
AGO;4610;18;;36;
AGP;9022;12;;30;
AGP;10500;13;;31;
AGR;5964;12;950;30;
AGR;9000;5;;23;1000
AGS;6001;8;;26;
AGS;8001;17;;35;
AGT;11154;5;;23;
AGU;9843;17;;35;
AGV;5990;11;;29;
AGX;4235;4;;22;625
AGZ;6824;7;;25;
AHB;10991;13;;31;
AHC;7167;8;;26;
AHE;4068;6;;24;
AHH;4001;18;;36;
AHJ;11800;16;;34;
AHM;3603;12;;30;190
AHN;4000;2;;20;
AHN;5522;9;;27;
AHO;9843;2;;20;
AHU;8202;18;;36;
AIA;6200;8;;26;
AIA;6311;17;;35;
AIA;9202;12;;30;
AID;3400;18;301;36;298
AID;5400;12;;30;88
AIF;4593;12;;30;
AIH;2526;13;;31;
AIK;3800;1;;19;
AIK;5500;7;;25;
AIN;4494;5;;23;
AIO;3911;12;855;30;
AIO;5000;2;;20;
AIR;4593;18;;36;
AIT;5920;14;;32;
AIU;3947;9;;27;
AIV;4970;6;200;24;615
AIW;4260;9;;27;
AIZ;6497;3;;21;
AJA;7897;2;;20;744
AJF;12011;10;;28;
AJI;6562;16;;34;
AJK;9811;8;;26;
AJL;8202;17;;35;
AJN;4429;10;;28;
AJR;8201;12;;30;
AJU;7218;11;;29;
AJY;9843;7;;25;
AKB;4500;16;;34;
AKC;6337;7;369;25;849
AKD;4600;10;;28;
AKF;12007;02L;;20R;
AKF;12007;02R;;20L;
AKG;2526;10;;28;
AKH;13143;17;;35;
AKI;3196;3;;21;
AKJ;8200;16;;34;
AKK;3120;4;;22;
AKL;11926;05R;1125;23L;
AKN;4000;NW;;SE;
AKN;4018;18;;36;
AKN;8901;12;;30;
AKO;7000;11;;29;
AKP;4800;2;;20;
AKR;9195;3;;21;
AKS;3100;18;;36;
AKT;9002;10;;28;
AKV;3510;8;;26;
AKW;6933;13;;31;
AKX;10160;13;;31;
AKY;6001;11;;29;
ALA;14427;5;;23;
ALB;7200;1;;19;
ALB;7200;10;;28;1201
ALC;9842;10;;28;
ALF;7165;11;674;29;418
ALG;11483;5;;23;
ALG;11483;9;;27;
ALH;3596;5;;23;
ALH;5906;14;;32;
ALI;4490;17;;35;
ALI;5997;13;;31;
ALJ;4823;11;;29;
ALJ;5499;7;;25;
ALJ;6063;1;;19;
ALL;4688;9;295;27;
ALM;3512;16;;34;
ALM;7006;3;;21;
ALN;6500;17;;35;
ALN;8101;11;;29;
ALO;5403;6;;24;
ALO;6002;18;;36;
ALO;8400;12;;30;
ALP;9547;9;;27;
ALQ;3937;14;;32;
ALR;3937;14L;;32R;
ALR;3937;14R;;32L;
ALS;3200;6;;24;
ALS;8519;2;;20;
ALT;3280;10;;28;
ALW;4486;7;;25;
ALW;5948;16;;34;
ALW;6526;2;;20;
ALX;5425;18;619;36;
ALY;7221;4;;22;
AMA;7901;13;;31;
AMA;13502;4;;22;
AMB;4921;11;;29;
AMD;11447;5;;23;
AMH;9170;3;;21;
AMI;6853;9;;27;
AMJ;4593;7;;25;
AMM;12008;08L;;26R;
AMM;12008;08R;;26L;
AMN;3200;18;;36;
AMN;5000;9;;27;
AMQ;8202;4;;22;
AMS;6608;4;;22;
AMS;10826;18C;;36C;1476
AMS;11155;18L;1887;36R;
AMS;11329;9;294;27;
AMS;11483;6;820;24;
AMS;12467;18R;886;36L;
AMW;3492;13;;31;
AMW;5700;1;;19;
AMX;3608;18;;36;
AMZ;4630;03R;345;21L;367
ANB;7000;5;;23;
ANC;10600;07L;;25R;
ANC;10900;07R;;25L;
ANC;11584;14;200;32;893
AND;4995;17;;35;
AND;6002;5;;23;
ANE;5906;8;;26;492
ANF;8527;1;;19;
ANG;5938;10;;28;
ANI;3000;05W;;23W;
ANI;6000;10;;28;
ANK;9045;11L;492;29R;
ANM;3914;18;;36;
ANN;5709;2;;20;
ANN;7493;12;;30;
ANP;2500;12;476;30;321
ANQ;4540;5;540;23;
ANR;4954;11;472;29;
ANS;8202;3;;21;
ANU;9003;7;656;25;
ANV;2960;17;;35;
ANW;5501;13;;31;
ANW;6824;17;;35;
ANX;5486;3;;21;
ANX;8097;14;;32;
ANY;3598;17;;35;
AOC;7333;4;853;22;985
AOE;8261;9;;27;
AOH;5149;9;138;27;
AOI;9718;4;641;22;492
AOJ;9846;6;;24;
AOK;7871;12;492;30;492
AOL;7415;18;230;36;1010
AOO;3668;12;;30;
AOO;5466;3;;21;
AOP;6749;12;;30;
AOR;9005;4;;22;
AOT;4088;9;213;27;115
APA;4800;10;;28;
APA;7004;17R;;35L;
APA;10002;17L;;35R;
APC;2510;18L;;36R;
APC;5007;6;;24;
APC;5931;18R;;36L;
APF;5000;14;130;32;450
APF;5290;5;290;23;
APG;4849;8;;26;
APG;5004;17;;35;
APG;7997;4;;22;
API;8204;10;;28;
APL;5135;13;;31;
APL;6562;5;;23;
APN;5031;7;;25;
APN;9001;1;;19;
APO;7153;15;;33;
APQ;3051;10;;28;
APS;6043;7;;25;
APT;3500;4;;22;
APU;4593;10;;28;
APV;4099;8;;26;
APV;6498;18;;36;597
APW;9843;8;;26;
APX;3937;15;;33;
APY;4593;14;;32;
APZ;7218;9;400;27;400
AQA;5907;17;;35;
AQI;9843;16;;34;
AQJ;9855;1;;19;
AQM;3117;12;;30;
AQP;9777;9;;27;1467
ARA;5000;16W;;34W;
ARA;8002;16;;34;
ARB;3505;6;;24;
ARC;4500;2;;20;
ARD;4586;3;;21;
ARE;3975;8;;26;
ARG;5001;18;;36;
ARG;5003;13;;31;
ARG;6001;4;1200;22;
ARH;8202;8;;26;
ARI;7119;2;;20;
ARK;5377;9;;27;
ARM;3661;9;;27;
ARM;5702;5;;23;
ARN;8201;01R;;19L;
ARN;8202;8;;26;
ARN;10830;01L;;19R;
ARR;4593;8;;26;
ART;5000;7;;25;
ART;5000;10;;28;
ARU;6955;5;;23;
ARV;3602;10;;28;
ARV;5150;18;;36;
ARW;6562;9;;27;
ARY;4068;12;;30;
ASA;11531;12;;30;
ASB;5907;11;990;29;1965
