id;nom;code_icao;code_iata;fuel_cap_L;distance_franchissable_km;vitesse_mach;altitude_vol_m;distance_decollage_m
ATR42-600;ATR 42-600 ;AT45;AT5;4500;1326;0.45;4000;1165
ATR72;ATR 72;AT72;AT7;5000;1528;0.42;7600;1333
SF340B;Saab 340B;SF34;SF3;3200;1700;0.42;9500;1300
DHC8-Q400;Bombardier Q400 Dash 8 ;DH8D;DH4;6526;2063;0.53;7600;1425
E170;Embraer ERJ-170;E170;E70;11560;3300;0.82;12500;1200
E175;Embraer ERJ-175;E175;E75;11560;3200;0.82;12500;1600
CRJ200ER;Bombardier CRJ-200ER ;CRJ2;CR2;8081;2491;0.74;12500;1770
CRJ700ER;Bombardier CRJ-700ER ;CRJ7;CR7;11000;3200;0.78;12500;1700
CRJ1000;Bombardier CRJ-1000 ;CRJX;CRK;11113;3004;0.78;12500;2100
A320;Airbus A320;A320;320;27000;6100;0.78;12000;1700
A320neo;Airbus A320neo;A20N;320;26730;6500;0.78;12000;1700
A321;Airbus A321;A321;321;30000;5950;0.78;12000;1700
B737-500;Boeing 737-500;B735;735;20000;4400;0.75;11000;2600
B737-700;Boeing 737-700;B737;737;26022;5436;0.79;12500;2400
B737-800;Boeing 737-800;B738;738;26022;5436;0.79;12500;2400
B767-300;Boeing 767-300;B763;763;90770;11070;0.8;12000;2400
B767-300ER;Boeing 767-300ER;B763;763;90770;11070;0.8;12000;2400
B777-300;Boeing 777-300;B773;773;171176;11120;0.85;11000;3400
B777-200ER;Boeing 777-200ER ;B772;772;171176;14310;0.85;11000;3570
B777-300ER;Boeing 777-300ER;B77W;77W;181283;14690;0.85;11000;3200
B787-8;Boeing 787-8;B788;788;126206;15200;0.85;13000;3100
B787-9;Boeing 787-9;B789;789;138898;15700;0.85;13000;2900
B747-400;Boeing 747-400;B744;744;216840;13490;0.86;13000;3000
A330-300;Airbus A330-300;A333;333;139090;10500;0.82;12500;2770
A350-900;Airbus A350-900;A359;359;140978;14350;0.85;13000;2200
